,genres
638,"['documentation', 'music', 'drama']"
639,"['drama', 'comedy']"
640,"['drama', 'european']"
641,"['drama', 'music', 'romance', 'comedy']"
642,"['comedy', 'documentation']"
643,"['horror', 'thriller', 'drama']"
644,"['drama', 'european']"
645,"['drama', 'family', 'comedy']"
646,"['romance', 'comedy']"
647,"['drama', 'european', 'family', 'war']"
648,"['romance', 'drama']"
649,['war']
650,"['documentation', 'drama', 'thriller']"
651,"['crime', 'action', 'history']"
652,['drama']
653,['comedy']
654,"['documentation', 'crime']"
655,"['comedy', 'action', 'romance']"
656,['reality']
657,['documentation']
658,"['comedy', 'drama']"
659,"['drama', 'comedy']"
660,"['drama', 'family']"
661,"['drama', 'romance', 'comedy']"
662,"['action', 'comedy', 'sport', 'crime']"
663,"['romance', 'drama', 'comedy', 'sport']"
664,"['comedy', 'drama']"
665,"['romance', 'comedy', 'drama']"
666,['comedy']
667,"['comedy', 'drama', 'romance']"
668,['drama']
669,"['comedy', 'thriller']"
670,"['drama', 'romance', 'comedy']"
671,"['action', 'drama', 'thriller']"
672,['drama']
673,"['romance', 'action', 'crime', 'drama', 'thriller']"
674,"['documentation', 'european']"
675,"['drama', 'action']"
676,"['thriller', 'action', 'crime', 'drama']"
677,"['romance', 'comedy']"
678,[]
679,['drama']
680,['comedy']
681,"['drama', 'comedy', 'romance']"
682,"['thriller', 'comedy', 'drama', 'romance']"
683,['drama']
684,"['romance', 'drama', 'comedy']"
685,"['drama', 'romance', 'comedy']"
686,[]
687,['animation']
688,"['thriller', 'action', 'drama']"
689,['animation']
690,"['drama', 'family', 'romance']"
691,[]
692,"['animation', 'fantasy']"
693,['drama']
694,['animation']
695,"['crime', 'action', 'comedy']"
696,[]
697,['drama']
698,['drama']
699,['drama']
700,"['drama', 'history', 'european']"
701,"['comedy', 'fantasy', 'animation', 'family']"
702,"['romance', 'comedy', 'drama']"
703,"['comedy', 'romance']"
704,"['scifi', 'thriller', 'drama', 'european']"
705,"['thriller', 'drama']"
706,"['western', 'drama']"
707,"['western', 'action', 'crime', 'drama']"
708,"['thriller', 'scifi', 'drama', 'crime', 'action']"
709,"['drama', 'comedy']"
710,"['comedy', 'romance']"
711,"['drama', 'thriller']"
712,"['comedy', 'drama', 'romance', 'european']"
713,"['fantasy', 'romance', 'comedy']"
714,['reality']
715,"['drama', 'thriller', 'crime', 'european']"
716,"['drama', 'action', 'sport']"
717,"['drama', 'action', 'comedy', 'crime', 'animation', 'documentation', 'family', 'fantasy']"
718,"['drama', 'romance', 'history', 'war']"
719,"['action', 'crime', 'drama', 'scifi']"
720,"['crime', 'thriller', 'drama']"
721,"['thriller', 'scifi', 'action', 'drama']"
722,"['scifi', 'thriller', 'action', 'documentation']"
723,"['crime', 'thriller', 'drama']"
724,"['romance', 'comedy']"
725,"['comedy', 'fantasy', 'horror']"
726,"['crime', 'thriller', 'action']"
727,"['drama', 'romance', 'comedy']"
728,"['action', 'scifi', 'comedy', 'drama', 'family', 'fantasy', 'animation']"
729,"['scifi', 'action', 'animation', 'drama', 'western', 'comedy', 'fantasy', 'romance', 'thriller']"
730,"['fantasy', 'thriller', 'action']"
731,"['action', 'comedy', 'documentation']"
732,"['drama', 'history', 'romance', 'crime']"
733,"['scifi', 'comedy', 'family', 'fantasy', 'animation', 'action', 'european']"
734,"['thriller', 'scifi', 'crime', 'action']"
735,"['scifi', 'thriller', 'animation', 'drama', 'fantasy']"
736,['comedy']
